,QUARTER,SKILL_COUNT,COUNT,SKILL_RATIO,GROUP,TYPE
94,2018-Q4,258,354035,0.000729,Environmental Laws,
95,2024-Q2,534,396924,0.001345,Environmental Laws,
96,2021-Q1,312,340041,0.000918,Environmental Laws,
97,2020-Q4,258,318413,0.00081,Environmental Laws,
98,2019-Q3,250,337576,0.000741,Environmental Laws,
99,2021-Q2,346,431921,0.000801,Environmental Laws,
100,2019-Q4,279,312871,0.000892,Environmental Laws,
101,2023-Q1,599,576518,0.001039,Environmental Laws,
102,2020-Q3,180,270403,0.000666,Environmental Laws,
103,2022-Q3,447,503673,0.000887,Environmental Laws,
104,2019-Q2,211,283172,0.000745,Smart Meter Systems,
105,2020-Q1,295,363402,0.000812,Smart Meter Systems,
106,2019-Q1,242,318484,0.00076,Smart Meter Systems,
107,2024-Q1,270,437134,0.000618,Smart Meter Systems,
108,2020-Q2,89,186383,0.000478,Smart Meter Systems,
109,2021-Q4,282,511861,0.000551,Smart Meter Systems,
110,2022-Q2,277,578532,0.000479,Smart Meter Systems,
111,2022-Q1,246,596705,0.000412,Smart Meter Systems,
112,2022-Q4,337,502009,0.000671,Smart Meter Systems,
113,2023-Q4,217,441052,0.000492,Smart Meter Systems,
114,2023-Q3,293,506220,0.000579,Smart Meter Systems,
115,2023-Q2,392,551084,0.000711,Smart Meter Systems,
116,2018-Q2,238,403022,0.000591,Smart Meter Systems,
117,2021-Q3,429,488580,0.000878,Smart Meter Systems,
118,2018-Q1,325,449189,0.000724,Smart Meter Systems,
119,2018-Q3,300,378586,0.000792,Smart Meter Systems,
120,2018-Q4,306,354035,0.000864,Smart Meter Systems,
121,2024-Q2,217,396924,0.000547,Smart Meter Systems,
122,2021-Q1,247,340041,0.000726,Smart Meter Systems,
123,2020-Q4,191,318413,0.0006,Smart Meter Systems,
124,2019-Q3,353,337576,0.001046,Smart Meter Systems,
125,2023-Q1,538,576518,0.000933,Smart Meter Systems,
126,2021-Q2,343,431921,0.000794,Smart Meter Systems,
127,2019-Q4,330,312871,0.001055,Smart Meter Systems,
128,2020-Q3,194,270403,0.000717,Smart Meter Systems,
129,2022-Q3,297,503673,0.00059,Smart Meter Systems,
